2024-05-30 16:35:51.429, Motor_108_Actual_Current, REAL, 10.7
2024-05-30 16:35:51.456, Motor_108_Actual_Power, REAL, 8.9
2024-05-30 16:35:51.489, Motor_108_Actual_Torque, REAL, 45.0
2024-05-30 16:35:51.511, Motor_108_Per_Actual_Speed, REAL, 90.0
2024-05-30 16:35:51.530, Motor_108_Per_Actual_Current, REAL, 89.13
2024-05-30 16:35:51.553, Motor_108_Per_Actual_Power, REAL, 88.95
2024-05-30 16:35:51.570, Motor_108_Per_Actual_Torque, REAL, 90.0
2024-05-30 16:35:51.583, Motor_109_Start_PB, BOOL, True
2024-05-30 16:35:51.595, Motor_109_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:51.606, Motor_109_Actual_Speed, REAL, 1500.0
2024-05-30 16:35:51.615, Motor_109_Actual_Current, REAL, 12.0
2024-05-30 16:35:51.626, Motor_109_Actual_Power, REAL, 9.9
2024-05-30 16:35:51.656, Motor_109_Actual_Torque, REAL, 50.0
2024-05-30 16:35:51.688, Motor_109_Per_Actual_Speed, REAL, 100.0
2024-05-30 16:35:51.741, Motor_109_Per_Actual_Current, REAL, 99.96
2024-05-30 16:35:51.756, Motor_109_Per_Actual_Power, REAL, 98.95
2024-05-30 16:35:51.780, Motor_109_Per_Actual_Torque, REAL, 100.0
2024-05-30 16:35:54.913, Motor_100_Start_PB, BOOL, True
2024-05-30 16:35:54.927, Motor_100_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:54.957, Motor_100_Actual_Speed, REAL, 150.0
2024-05-30 16:35:54.976, Motor_100_Actual_Current, REAL, 1.2
2024-05-30 16:35:54.993, Motor_100_Actual_Power, REAL, 1.0
2024-05-30 16:35:55.023, Motor_100_Actual_Torque, REAL, 5.0
2024-05-30 16:35:55.041, Motor_100_Per_Actual_Speed, REAL, 10.0
2024-05-30 16:35:55.065, Motor_100_Per_Actual_Current, REAL, 10.0
2024-05-30 16:35:55.083, Motor_100_Per_Actual_Power, REAL, 10.0
2024-05-30 16:35:55.096, Motor_100_Per_Actual_Torque, REAL, 10.0
2024-05-30 16:35:55.106, Motor_101_Start_PB, BOOL, True
2024-05-30 16:35:55.118, Motor_101_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:55.141, Motor_101_Actual_Speed, REAL, 300.0
2024-05-30 16:35:55.181, Motor_101_Actual_Current, REAL, 2.1
2024-05-30 16:35:55.225, Motor_101_Actual_Power, REAL, 1.8
2024-05-30 16:35:55.255, Motor_101_Actual_Torque, REAL, 10.0
2024-05-30 16:35:55.271, Motor_101_Per_Actual_Speed, REAL, 20.0
2024-05-30 16:35:55.282, Motor_101_Per_Actual_Current, REAL, 17.51
2024-05-30 16:35:55.292, Motor_101_Per_Actual_Power, REAL, 18.01
2024-05-30 16:35:55.307, Motor_101_Per_Actual_Torque, REAL, 20.0
2024-05-30 16:35:55.319, Motor_102_Start_PB, BOOL, True
2024-05-30 16:35:55.329, Motor_102_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:55.340, Motor_102_Actual_Speed, REAL, 430.0
2024-05-30 16:35:55.349, Motor_102_Actual_Current, REAL, 3.5
2024-05-30 16:35:55.359, Motor_102_Actual_Power, REAL, 2.9
2024-05-30 16:35:55.373, Motor_102_Actual_Torque, REAL, 14.0
2024-05-30 16:35:55.384, Motor_102_Per_Actual_Speed, REAL, 28.67
2024-05-30 16:35:55.395, Motor_102_Per_Actual_Current, REAL, 29.18
2024-05-30 16:35:55.408, Motor_102_Per_Actual_Power, REAL, 29.01
2024-05-30 16:35:55.420, Motor_102_Per_Actual_Torque, REAL, 28.0
2024-05-30 16:35:55.431, Motor_103_Start_PB, BOOL, True
2024-05-30 16:35:55.440, Motor_103_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:55.452, Motor_103_Actual_Speed, REAL, 600.0
2024-05-30 16:35:55.465, Motor_103_Actual_Current, REAL, 4.6
2024-05-30 16:35:55.477, Motor_103_Actual_Power, REAL, 3.7
2024-05-30 16:35:55.487, Motor_103_Actual_Torque, REAL, 20.0
2024-05-30 16:35:55.502, Motor_103_Per_Actual_Speed, REAL, 40.0
2024-05-30 16:35:55.513, Motor_103_Per_Actual_Current, REAL, 38.29
2024-05-30 16:35:55.526, Motor_103_Per_Actual_Power, REAL, 37.0
2024-05-30 16:35:55.558, Motor_103_Per_Actual_Torque, REAL, 40.0
2024-05-30 16:35:55.574, Motor_104_Start_PB, BOOL, True
2024-05-30 16:35:55.601, Motor_104_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:55.618, Motor_104_Actual_Speed, REAL, 750.0
2024-05-30 16:35:55.631, Motor_104_Actual_Current, REAL, 5.8
2024-05-30 16:35:55.643, Motor_104_Actual_Power, REAL, 4.9
2024-05-30 16:35:55.653, Motor_104_Actual_Torque, REAL, 25.0
2024-05-30 16:35:55.664, Motor_104_Per_Actual_Speed, REAL, 50.0
2024-05-30 16:35:55.675, Motor_104_Per_Actual_Current, REAL, 48.29
2024-05-30 16:35:55.687, Motor_104_Per_Actual_Power, REAL, 48.95
2024-05-30 16:35:55.701, Motor_104_Per_Actual_Torque, REAL, 50.0
2024-05-30 16:35:55.712, Motor_105_Start_PB, BOOL, True
2024-05-30 16:35:55.734, Motor_105_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:55.781, Motor_105_Actual_Speed, REAL, 870.0
2024-05-30 16:35:55.824, Motor_105_Actual_Current, REAL, 7.2
2024-05-30 16:35:55.856, Motor_105_Actual_Power, REAL, 5.9
2024-05-30 16:35:55.868, Motor_105_Actual_Torque, REAL, 29.0
2024-05-30 16:35:55.882, Motor_105_Per_Actual_Speed, REAL, 58.67
2024-05-30 16:35:55.894, Motor_105_Per_Actual_Current, REAL, 59.13
2024-05-30 16:35:55.904, Motor_105_Per_Actual_Power, REAL, 58.95
2024-05-30 16:35:55.915, Motor_105_Per_Actual_Torque, REAL, 58.0
2024-05-30 16:35:55.927, Motor_106_Start_PB, BOOL, True
2024-05-30 16:35:55.950, Motor_106_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:55.979, Motor_106_Actual_Speed, REAL, 1050.0
2024-05-30 16:35:56.005, Motor_106_Actual_Current, REAL, 8.3
2024-05-30 16:35:56.026, Motor_106_Actual_Power, REAL, 6.8
2024-05-30 16:35:56.044, Motor_106_Actual_Torque, REAL, 35.0
